pl_name,pl_discmethod,pl_controvflag,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_bmassj,pl_bmassprov,pl_radj,pl_dens,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,gaia_dist,st_optmag,st_optband,gaia_gmag,st_teff,st_mass,st_rad,rowupdate,pl_facility
11 Com b,Radial Velocity,0,1,326.03000000,1.290000,0.231000,,19.40000,Msini,,,0,0,0,0,12h20m43.03s,185.179276,+17d47m34.3s,17.792868,93.37,93.37,4.740,V (Johnson),4.372,4742.00,2.70,19.00,2014-05-14,Xinglong Station
11 UMi b,Radial Velocity,0,1,516.21997000,1.530000,0.080000,,14.74000,Msini,,,0,0,0,0,15h17m05.89s,229.274536,+71d49m26.0s,71.823898,125.72,125.72,5.016,V (Johnson),4.500,4213.00,2.78,29.79,2018-09-06,Thueringer Landessternwarte Tautenburg
14 And b,Radial Velocity,0,1,185.84000000,0.830000,0.000000,,4.80000,Msini,,,0,0,0,0,23h31m17.42s,352.822571,+39d14m10.3s,39.236198,75.59,75.59,5.227,V (Johnson),4.872,4813.00,2.20,11.00,2014-05-14,Okayama Astrophysical Observatory
14 Her b,Radial Velocity,0,1,1773.40002000,2.930000,0.370000,,4.66000,Msini,,,0,0,0,0,16h10m24.31s,242.601303,+43d49m03.5s,43.817646,17.94,17.94,6.610,V (Johnson),6.379,5338.00,0.90,0.93,2018-09-06,W. M. Keck Observatory
16 Cyg B b,Radial Velocity,0,1,798.50000000,1.660000,0.680000,,1.78000,Msini,,,0,0,0,0,19h41m51.97s,295.466553,+50d31m03.1s,50.517525,21.15,21.15,6.250,V (Johnson),6.057,5750.00,1.08,1.13,2018-09-06,Multiple Observatories
18 Del b,Radial Velocity,0,1,993.30000000,2.600000,0.080000,,10.30000,Msini,,,0,0,0,0,20h58m25.94s,314.608063,+10d50m21.4s,10.839286,76.38,76.38,5.506,V (Johnson),5.244,4979.00,2.30,8.50,2014-05-14,Okayama Astrophysical Observatory
1RXS J160929.1-210524 b,Imaging,0,1,,330.000000,,,8.00000,Mass,,,0,0,0,0,16h09m30.30s,242.376268,-21d04m58.9s,-21.083036,145.00,139.67,,,12.057,4060.00,0.85,,2015-04-01,Gemini Observatory
24 Boo b,Radial Velocity,0,1,30.35060000,0.190000,0.042000,,0.91000,Msini,,,0,0,0,0,14h28m37.81s,217.157547,+49d50m41.5s,49.844852,96.25,96.25,5.580,V (Johnson),5.305,4893.00,0.99,10.64,2018-04-26,Okayama Astrophysical Observatory
24 Sex b,Radial Velocity,0,2,452.80000000,1.333000,0.090000,,1.99000,Msini,,,0,0,0,0,10h23m28.37s,155.868210,-00d54m08.1s,-0.902244,72.21,72.21,6.441,V (Johnson),6.198,5098.00,1.54,4.90,2014-05-14,Lick Observatory
24 Sex c,Radial Velocity,0,2,883.00000000,2.080000,0.290000,,0.86000,Msini,,,0,0,0,0,10h23m28.37s,155.868210,-00d54m08.1s,-0.902244,72.21,72.21,6.441,V (Johnson),6.198,5098.00,1.54,4.90,2014-05-14,Lick Observatory
2MASS J01033563-5515561 AB b,Imaging,0,1,,84.000000,,,13.00000,Mass,,,0,0,0,0,01h03m35.63s,15.898458,-55d15m56.1s,-55.265583,47.20,,,,,,0.19,,2020-09-03,Paranal Observatory
2MASS J01225093-2439505 b,Imaging,0,1,,52.000000,,,24.50000,Mass,,,0,0,0,0,01h22m50.94s,20.712243,-24d39m50.6s,-24.664049,36.00,33.86,14.240,V (Johnson),12.903,3530.00,0.40,,2014-05-14,W. M. Keck Observatory
2MASS J02192210-3925225 b,Imaging,0,1,,156.000000,,,13.90000,Mass,1.440,,0,0,0,0,02h19m22.11s,34.842106,-39d25m22.5s,-39.422928,39.40,40.09,,,15.012,3064.00,0.11,0.28,2015-05-14,Cerro Tololo Inter-American Observatory
2MASS J04414489+2301513 b,Imaging,0,1,,15.000000,,,7.50000,Mass,,,0,0,0,0,04h41m44.90s,70.437073,+23d01m51.4s,23.030941,140.00,120.42,,,18.967,,0.02,,2014-05-14,Hubble Space Telescope
